Game_Name, Game_Tag,Rank, Price
Meridian 157: Chapter 2,Adventure  Puzzle  Casual  Point & Click,279,3.25
Meridian 157: Chapter 1,Adventure  Puzzle  Point & Click  Hidden Object,280,3.25
Meridian 157: Prologue,Adventure  Puzzle  Point & Click  Hidden Object,281,0
Puzzle Together,Casual  Puzzle  Multiplayer  Singleplayer,282,0
Chroma,Action  Platformer  2D Platformer  Side Scroller,283,0
Mad Bus,Racing  Casual  Runner  Driving,284,1.1
Wordle 4,Casual  Sports  Indie  2D,285,2.15
Green Marquis,Early Access  Puzzle Platformer  Adventure  Pixel Graphics,286,10
Dragon Audit,Comedy  Romance  Point & Click  Dragons,287,10
Initial Drift Online,Early Access  Racing  Immersive Sim  Combat Racing,288,5.25
Power of Two,Action  Arcade  Top-Down Shooter  2D,289,6.5
Space Raiders in Space,Strategy  Indie  Action  Comic Book,290,10
ARCANIUM: Rise of Akhan,Early Access  Card Battler  Card Game  Trading Card Game,291,16
Monster Sanctuary,RPG  Indie  Adventure  Strategy,292,23
Ultimate Zombie Defense,Casual  Action  Gore  Adventure,293,5.25
Vessels,Narrative  Exploration  Mystery  Atmospheric,294,6.5
The Hayseed Knight,Choose Your Own Adventure  Visual Novel  Fantasy  Comedy,295,14.5
Call of the Sea,Adventure  Puzzle  Story Rich  Female Protagonist,296,18.5
Rotatex 2,Early Access  Puzzle  Platformer  Precision Platformer,297,9
Critical Damage,Third-Person Shooter  Action  PvE  Shooter,298,6.5
The Conquest of Go,Early Access  Strategy  Board Game  Turn-Based,299,14.5
Headbangers in Holiday Hell,Action Roguelike  Hack and Slash  Arcade  Dark Humor,300,7.5
Nomads of Driftland,Simulation  Exploration  Real-Time  RTS,301,0
Ignis Universia: Eternal Sisters Saga DX,Visual Novel  Adventure  RPG  JRPG,302,0
Slapshot: Rebound,0  Sports  Indie  Multiplayer,303,0
Lombardi's World,Adventure  Massively Multiplayer  Puzzle  Action-Adventure,304,5.25
??????,Strategy  Historical  RTS  War,305,15
eFootball PES 2021 SEASON UPDATE,Sports  eSports  Realistic  Multiplayer,306,38
ALLBLACK Phase 1,Visual Novel  Anime  Psychological  Thriller,307,0
These Nights Alone,Adventure  2D  Visual Novel  Puzzle,308,0
